All,Todos
"Return to Order Management","Mover a gestión de pedidos"
"Remove to Archive","Remover a Archivo"
"Go to Archive","Ir a archivo"
"The ""%1"" product is not part of the current creditmemo.","El producto ""%1"" no forma parte de la devolución."
"The return to stock argument contains product item that is not part of the original order.","El argumento de devolución al stock contiene un artículo de producto que no forma parte del pedido original."
"Are you sure you want to delete this?","¿Seguro que deseas eliminar esto?"
"Apply the rule only to cart items matching the following conditions (leave blank for all items).","Aplíquese la regla sólo a los artículos del carro que se ajusten a las siguientes condiciones (dejar en blanco para todos los artículos)."
"Apply the rule only if the following conditions are met (leave blank for all products).","Aplicar la regla sólo si se cumplen las siguientes condiciones (dejar en blanco para todos los artículos)."
"Manage Coupon Codes","Administrar códigos de cupones"
"Coupon Qty","Código de cantidad"
"If empty no separation.","Si está vacío no hay separación."
"Times Used","Tiempos utilizados"
"Are you sure you want to delete the selected coupon(s)?","¿Está seguro de que quiere eliminar el cupón/los cupones seleccionado(s)?"
Labels,Etiquetas
"%1 - Discounts and Coupons","%1 - Descuentos y cupones"
Coupons/Discounts,Cupones/descuentos
"We can't delete the rule right now. Please review the log and try again.","No se puede eliminar esta regla en este momento. Por favor, revise el registro y vuelva a intentarlo."
"New Cart Price Rule","Nueva regla de precio de carrito"
"Rule is not defined","Regla no definida"
"%1 coupon(s) have been generated.","Se han generado %1 cupones."
"Invalid data provided","Datos no válidos"
"Something went wrong while generating coupons. Please review the log and try again.","Algo salió mal y generar cupones. Por favor, revise el registro y vuelva a intentarlo."
"The wrong rule is specified.","Regla especificada incorrecta."
"We cannot create the requested Coupon Qty. Please check your settings and try again.","No podemos crear en el Cant de cupón solicitado. Por favor, compruebe su configuración e intente nuevamente."
"Specified rule does not allow coupons","Regla especificada no permite cupones"
"Specified rule only allows auto generated coupons","Regla especificada sólo permite cupones de auto generado"
"Specified rule does not allow auto generated coupons","Regla especificada no permite cupones de auto generado"
"Error occurred when saving coupon: %1","Error al guardar el cupón: %1"
"Coupon with the same code","Cupón con el mismo código"
"No Coupon","Sin cupón"
"Specific Coupon","Cupón específico"
"Can't acquire coupon.","No se puede adquirir el cupón."
"Total Items Quantity","Cantidad total de artículos"
"Shipping Postcode","Código postal"
"Shipping Region","Región de envío"
"Shipping State/Province","Estado/Provincia para el despacho"
"Shipping Country","País de envío"
"Product attribute combination","Combinación de atributos de artículo"
"Products subselection","Subselección de artículos"
"Conditions combination","Combinación de condiciones"
"Cart Attribute","Atributos del carrito"
"Quantity in cart","Cantidad en el carrito"
"Price in cart","Precio del carro"
"Row total in cart","Total de filas en el carrito"
"Cart Item Attribute","Atributo de artículo del carrito de compras"
FOUND,ENCONTRADO
"NOT FOUND","NO ENCONTRADO"
"If an item is %1 in the cart with %2 of these conditions true:","Si un artículo es %s en la cesta con %s de estas condiciones verdaderas:"
"total quantity","Suma total"
"total amount","Cantidad total"
"If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:","Si %s %s %s para una subselección de artículos en la cesta coincidiendo %s de estas condiciones:"
"Percent of product price discount","Porcentaje de descuento en el precio del artículo"
"Fixed amount discount","Monto fijo de descuento"
"Fixed amount discount for whole cart","Descuento de cantidad fija para el carro completo"
"Buy X get Y free (discount amount is Y)","Compre X y llévese Y gratis (la cantidad descontada es Y)"
"Specified rule does not allow automatic coupon generation","Regla especificada no permite la generación automática del cupón"
"Error occurred when generating coupons: %1","Error al generar cupones: %1"
"Some coupons are invalid.","Algunos cupones no son válidos."
"Item totals are not set for the rule.","No se han establecido totales de artículo para la regla."
"%1 Cart Price Rules based on ""%2"" attribute have been disabled.","%d reglas del precio de catálogo basadas en el atributo ""%s"" se han desactivado."
"Your coupon was successfully removed.","Su cupón fue removido con éxito."
"Your coupon was successfully applied.","Su cupón fue aplicado con éxito."
Promotion,Promoción
"Auto Generated Specific Coupon Codes","Códigos de cupones específicos generados automáticamente"
"
                    If you select and save the rule you will be able to generate multiple coupon codes.
                ","
Si selecciona y guarda la regla, podrá generar múltiples códigos de cupón.
                "
"Use Auto Generation","Utilizar generación automática"
"Uses per Coupon","Usos por cupón"
"
                    Usage limit enforced for logged in customers only.
                ","
Se aplica un límite de uso únicamente para los usuarios que inician sesión.
                "
"Uses per Customer","Usos por cliente"
"Public In RSS Feed","Publicar feed RSS"
"Maximum Qty Discount is Applied To","Se aplica la máxima cantidad descontada"
"Discount Qty Step (Buy X)","Paso de cantidad descontada (comprar X)"
"Discount amount is applied to subtotal only","El importe de descuento se aplica únicamente al subtotal"
"Discount amount is applied to subtotal and shipping amount separately","El importe del descuento se aplica al subtotal y al importe de envío por separado"
"Apply to Shipping Amount","Aplíquese a la cantidad de envío"
"Default Rule Label for All Store Views","Etiqueta normativa para todas las vistas de tienda (predeterminada)"
"Coupons Information","Información sobre cupones"
"If you select and save the rule you will be able to generate multiple coupon codes.","Si selecciona y guarda esta norma, podrá generar múltiples códigos de cupones."
"Usage limit enforced for logged in customers only.","Límite de uso aplicado sólo a clientes que iniciaron sesión."
"Your coupon was successfully removed","Su cupón fue eliminado correcctamente"
"Your coupon was successfully applied","Su cupón se aplicó correctamente"
"
                        If you select and save the rule you will be able to generate multiple coupon codes.
                    ","                         Si seleccionar y guardar la regla que será capaz de generar múltiples códigos de cupón.                     "
"
                        Usage limit enforced for logged in customers only.
                    ","                         Límite de uso aplicada para iniciar sesión sólo para clientes.                     "
"Category (Parent only)","Categoría (Sólo Principal)"
"Category (Children Only)","Categoría (Sólo Secundaria)"
"(Parent Only)","(Sólo Principal)"
"(Children Only)","(Sólo Secundaria)"
"Message is added to queue, wait to get your coupons soon","El mensaje ha sido añadido a la cola, espere para obtener sus cupones pronto"
"Your coupons are ready","Tus cupones están listos"
"You can check your coupons at sales rule page","Puede comprobar sus cupones en la página de reglas de venta"
"Error during coupons generator process occurred","Ocurrió un error durante el proceso generador de cupones"
"Error during coupons generator process occurred. Please check logs for detail","Ocurrió un error durante el proceso generador de cupones. Por favor, compruebe los registros para más detalles"
"An error occurred during processing; coupon with id %1 expiration date wasn't updated. The error message was: %2","Se ha producido un error durante el proceso. El cupón con ID %1 no tenía la fecha de expiración actualizada. El mensaje de error era: %2"
"The cart price rule will be removed from the update and all scheduled changes will be lost.","La regla de precio del carrito de compras se eliminará de la actualización y todos los cambios programados se perderán."
"Remove Cart Price Rule from Campaign","Quitar regla de precio de carrito de la campaña"
"Deleting the update will remove the cart price rule from this campaign and all scheduled changes will be lost.","Eliminar la actualización eliminará la la regla de precio de carrito de esta campaña y se perderán todos los cambios programados."
"Entity Sequence profile not added to meta active profile","Perfil de la secuencia de entidad no añadido al perfil activo de meta"
"Not enough arguments","No hay suficientes argumentos"
